atr_multiplier,strategy,n_trades,win_rate,avg_R,total_pnl_usd,stop_hit_rate,long_count,short_count,avg_mfe_R,avg_mae_R
1.0,S2a,1232,0.5113636363636364,-0.0015877312161844046,-15.95542857142786,0.1185064935064935,664,568,0.3524117407148246,0.3349302095365628
1.0,S2b,1355,0.5099630996309963,-0.0007490042916924555,3.7317857142865876,0.11881918819188192,711,644,0.35344649668116723,0.335596451030628
1.5,S2a,1232,0.515422077922078,-0.008148907885792084,-80.4748571428567,0.036525974025974024,664,568,0.23556314594472996,0.24336762101538997
1.5,S2b,1267,0.5169692186266772,-0.007979031566786993,-87.66457142857101,0.037884767166535126,674,593,0.23600903140403276,0.243498242197089
2.0,S2a,1232,0.5162337662337663,-0.006458650087993003,-83.63042857142807,0.008116883116883116,664,568,0.17678835026238107,0.1882078904690575
2.0,S2b,1238,0.5161550888529887,-0.006293377200693025,-82.90142857142803,0.008077544426494346,665,573,0.17674409535266666,0.1883706944303193
2.5,S2a,1232,0.5162337662337663,-0.005551999454516051,-87.80857142857099,0.002435064935064935,664,568,0.14143068020990482,0.15137743074518986
2.5,S2b,1235,0.5165991902834008,-0.005529611563021521,-87.82857142857091,0.0024291497975708503,664,571,0.14134248398282065,0.15153699958944603
3.0,S2a,1232,0.5162337662337663,-0.004565816186743317,-87.50714285714247,0.0008116883116883117,664,568,0.11785890017492069,0.12620760078350174
3.0,S2b,1233,0.5166261151662611,-0.004554934100906561,-87.40714285714245,0.0008110300081103001,664,569,0.11785305146887833,0.1261738027686386
